Ref,Status,Design ,Type ,Mode,2024_Outstanding Benefits-RiskScore,2024_Membership, 2024_Total Net Assets ,2024_ExpensesTo TotalAssets Ratio,2024_OUTFLOW/INFLOW - Liquidity Ratio,2024_Overall Risk Score,2024_ReturnOn Investment,2024_UnremmittedContributions/Total Assets,2024_Compliance toTable G,2024_Inflation,2024_interest_rates,2024_exchange_rates,2023_Outstanding Benefits-RiskScore,2023_Membership,2023_Total Net Assets,2023_ExpensesTo TotalAssets Ratio,2023_OUTFLOW/INFLOW - Liquidity Ratio,2023_Overall Risk Score,2023_ReturnOn Investment,2023_UnremmittedContributions/Total Assets,2023_Compliance toTable G,2023_Inflation,2023_interest_rates,2023_exchange_rates,2022_Outstanding Benefits-RiskScore,2022_Membership,2022_Total Net Assets,2022_ExpensesTo TotalAssets Ratio,2022_OUTFLOW/INFLOW - Liquidity Ratio,2022_Overall Risk Score,2022_ReturnOn Investment,2022_UnremmittedContributions/Total Assets,2022_Compliance toTable G,2022_Inflation,2022_interest_rates,2022_exchange_rates,2021_Outstanding Benefits-RiskScore,2021_Membership,2021_Total Net Assets,2021_ExpensesTo TotalAssets Ratio,2021_OUTFLOW/INFLOW - Liquidity Ratio,2021_Overall Risk Score,2021_ReturnOn Investment,2021_UnremmittedContributions/Total Assets,2021_Compliance toTable G,2021_Inflation,2021_interest_rates,2021_exchange_rates,2020_Outstanding Benefits-RiskScore,2020_Membership,2020_Total Net Assets,2020_ExpensesTo TotalAssets Ratio,2020_OUTFLOW/INFLOW - Liquidity Ratio,2020_Overall Risk Score,2020_ReturnOn Investment,2020_UnremmittedContributions/Total Assets,2020_Compliance toTable G,2020_Inflation,2020_interest_rates,2020_exchange_rates,2019_Outstanding Benefits-RiskScore,2019_Membership,2019_Total Net Assets,2019_ExpensesTo TotalAssets Ratio,2019_OUTFLOW/INFLOW - Liquidity Ratio,2019_Overall Risk Score,2019_ReturnOn Investment,2019_UnremmittedContributions/Total Assets,2019_Compliance toTable G,2019_Inflation,2019_interest_rates,2019_exchange_rates,2018_Outstanding Benefits-RiskScore,2018_Membership,2018_Total Net Assets,2018_ExpensesTo TotalAssets Ratio,2018_OUTFLOW/INFLOW - Liquidity Ratio,2018_Overall Risk Score,2018_ReturnOn Investment,2018_UnremmittedContributions/Total Assets,2018_Compliance toTable G,2018_Inflation,2018_interest_rates,2018_exchange_rates,2017_Outstanding Benefits-RiskScore,2017_Membership,2017_Total Net Assets,2017_ExpensesTo TotalAssets Ratio,2017_OUTFLOW/INFLOW - Liquidity Ratio,2017_Overall Risk Score,2017_ReturnOn Investment,2017_UnremmittedContributions/Total Assets,2017_Compliance toTable G,2017_Inflation,2017_interest_rates,2017_exchange_rates,2016_Outstanding Benefits-RiskScore,2016_Membership,2016_Total Net Assets,2016_ExpensesTo TotalAssets Ratio,2016_OUTFLOW/INFLOW - Liquidity Ratio,2016_Overall Risk Score,2016_ReturnOn Investment,2016_UnremmittedContributions/Total Assets,2016_Compliance toTable G,2016_Inflation,2016_interest_rates,2016_exchange_rates,2015_Outstanding Benefits-RiskScore,2015_Membership,2015_Total Net Assets,2015_ExpensesTo TotalAssets Ratio,2015_OUTFLOW/INFLOW - Liquidity Ratio,2015_Overall Risk Score,2015_ReturnOn Investment,2015_UnremmittedContributions/Total Assets,2015_Compliance toTable G,2015_Inflation,2015_interest_rates,2015_exchange_rates,2014_Outstanding Benefits-RiskScore,2014_Membership,2014_Total Net Assets,2014_ExpensesTo TotalAssets Ratio,2014_OUTFLOW/INFLOW - Liquidity Ratio,2014_Overall Risk Score,2014_ReturnOn Investment,2014_UnremmittedContributions/Total Assets,2014_Compliance toTable G,2014_Inflation,2014_interest_rates,2014_exchange_rates
10,Active,Defined Benefit,Pension Scheme,Segregated funds,1,120," 1,084,560,803 ",1%,318.98%,3.26,20%,0%,1,4.50%,11%,134.80,1,191,941487657,0.85%,100%,3.34,5.79%,0%,1,7%,12.50%,151.77,5,122,947752355,1%,63%,4.14,3.06%,0%,1,9.00%,8.80%,121.95,1,125,967736377,0.81%,460.51%,3.58,8.87%,0.00%,1,6.00%,7.00%,111.93,0,128," 808,935,546.00 ",1.15%,350.86%,0,4.83%,0.00%,0,5%,7%,109.51,0,129,697358779,1.29%,252.37%,0,13%,0%,0,5.00%,8.50%,102.55,0,128,642856568,1%,68%,0,4.81%,0.00%,0,6.00%,9.00%,101.88,0,127,657087247,1.12%,309.30%,0,13%,0%,0,0.05,0.1,103.37,0,117,598963704,1%,68%,0,3%,0%,0,7.00%,10.00%,101.78,0,129,607422366,1%,175%,0,4%,0%,0,7%,13%,103.78,0,127,580381137,2%,325%,0,11%,0%,0,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,5,5551," 15,885,481,182 ",1%,372.09%,3.98,12%,30%,5,4.50%,11%,134.80,5,5425,13973410376,1.31%,200%,4.19,3.87%,30%,5,7%,12.50%,151.77,5,5609,13402325355,1%,229%,4.09,2.54%,27%,5,9.00%,8.80%,121.95,5,5704,12690985503,1.27%,280.82%,4.31,4.59%,24.95%,5,6.00%,7.00%,111.93,0,5513," 11,794,450,029.00 ",1.15%,291.87%,0,2.69%,19.63%,0,5%,7%,109.51,0,5488,11037531989,1.20%,345.38%,0,6%,15%,0,5.00%,8.50%,102.55,0,6485,9999829975,1%,409%,0,5.07%,10.33%,0,6.00%,9.00%,101.88,0,5693,9009381267,1.08%,521.06%,0,10%,0%,0,0.05,0.1,103.37,0,4670,7666057472,1%,395%,0,4%,0%,0,7.00%,10.00%,101.78,,,,,,,,,,,,,,,,,,,,,,,,
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,491," 3,912,529 ",1%,63.41%,4,10%,29%,1,4.50%,11%,134.80,1,15,4107411,0.83%,53%,3.24,7.73%,0%,5,7%,12.50%,151.77,1,15,4392780,1%,909%,3.44,4.66%,0%,5,9.00%,8.80%,121.95,1,15,3202266,0.92%,730.54%,3.44,8.58%,0.00%,5,6.00%,7.00%,111.93,0,15," 2,965,001.00 ",0.97%,10.62%,0,10.49%,0.00%,0,5%,7%,109.51,0,18,5591180,1.07%,90.63%,0,10%,0%,0,5.00%,8.50%,102.55,0,18,5727610,0%,232%,0,8.01%,0.00%,0,6.00%,9.00%,101.88,,,,,,,,,,,,,0,34000,27926110420,6%,242%,0,7%,0%,0,7.00%,10.00%,101.78,,,,,,,,,,,,,0,16,3380503,1%,109%,0,10%,0%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,15," 51,704,377 ",1%,992.78%,2.32,2%,0%,1,4.50%,11%,134.80,1,16,48304348,0.29%,1118%,2.45,1.92%,0%,5,7%,12.50%,151.77,1,15,44961121,0%,545%,2.53,7.40%,0%,5,9.00%,8.80%,121.95,1,0,40266457,0.47%,278.83%,2.72,6.69%,0.00%,5,6.00%,7.00%,111.93,0,0," 37,258,704.00 ",0.52%,183.86%,0,5.82%,0.00%,0,5%,7%,109.51,0,18,35190984,0.53%,412.94%,0,8%,0%,0,5.00%,8.50%,102.55,0,18,30977081,1%,1808%,0,3.75%,0.00%,0,6.00%,9.00%,101.88,0,0,27351245,0.58%,2012.85%,0,10%,1%,0,0.05,0.1,103.37,0,16,22562534,1%,237%,0,6%,2%,0,7.00%,10.00%,101.78,0,0,0,0%,0%,0,0%,0%,0,7%,13%,103.78,0,0,18225700,1%,2209%,0,10%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,416," 340,849,211 ",0%,179.40%,2.82,10%,10%,1,4.50%,11%,134.80,1,435,311493992,0.26%,788%,2.56,8.27%,3%,5,7%,12.50%,151.77,1,139,258529179,0%,182%,2.56,6.00%,0%,5,9.00%,8.80%,121.95,1,455,239618121,0.25%,545.86%,3.44,8.05%,0.00%,5,6.00%,7.00%,111.93,0,507," 201,495,900.00 ",0.25%,332.18%,0,7.04%,1.07%,0,5%,7%,109.51,0,253,176332104,0.31%,74.26%,0,10%,0%,0,5.00%,8.50%,102.55,0,437,187019595,0%,171%,0,8.37%,0.00%,0,6.00%,9.00%,101.88,0,446,174305007,0.40%,456.34%,0,9%,0%,0,0.05,0.1,103.37,0,0,150679513,0%,333%,0,8%,0%,0,7.00%,10.00%,101.78,0,437,132026821,0%,713%,0,7%,0%,0,7%,13%,103.78,0,449,111310635,0%,1781%,0,10%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,1,584," 867,649,420 ",2%,480.00%,3.15,22%,0%,1,4.50%,11%,134.80,1,588,675121213,1.70%,188%,3.1,3.18%,0%,1,7%,12.50%,151.77,1,578,643601650,2%,95%,3.1,1.64%,0%,1,9.00%,8.80%,121.95,1,551,646280989,1.76%,130.44%,3.58,10.51%,0.00%,1,6.00%,7.00%,111.93,0,584," 620,886,830.00 ",1.55%,138.74%,0,8.14%,0.00%,0,5%,7%,109.51,0,598,595057955,1.28%,468.56%,0,14%,0%,0,5.00%,8.50%,102.55,0,612,500612853,1%,146%,0,6.23%,0.00%,0,6.00%,9.00%,101.88,0,635,479823063,1.25%,79.11%,0,16%,0%,0,0.05,0.1,103.37,0,640,510292401,1%,46%,0,9%,0%,0,7.00%,10.00%,101.78,0,680,630882386,1%,55%,0,1%,0%,0,7%,13%,103.78,0,489,686810166,1%,305%,0,14%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,1,2010," 694,153,486 ",1%,347.94%,3.91,18%,1%,5,4.50%,11%,134.80,1,1837,583062228,1.16%,115%,3.21,8.27%,1%,1,7%,12.50%,151.77,1,1785,573477381,1%,111%,3.91,8.10%,1%,1,9.00%,8.80%,121.95,1,1723,566591843,1.01%,132.07%,4.08,10.62%,0.99%,1,6.00%,7.00%,111.93,0,1840," 551,164,511.00 ",1.31%,72.02%,0,7.98%,1.16%,0,5%,7%,109.51,0,1914,579528421,1.04%,70.56%,0,13%,1%,0,5.00%,8.50%,102.55,0,1865,623142993,2%,31%,0,13.60%,0.00%,0,6.00%,9.00%,101.88,0,1059,1068539860,1.04%,255.52%,0,14%,0%,0,0.05,0.1,103.37,0,1173,878809695,1%,177%,0,7%,0%,0,7.00%,10.00%,101.78,0,1095,762482076,1%,665%,0,6%,0%,0,7%,13%,103.78,0,995,540477365,1%,1137%,0,11%,0%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,1,95," 182,343,230 ",0%,268.42%,2.94,11%,0%,1,4.50%,11%,134.80,1,96,155095119,0.46%,432%,2.48,9.56%,0%,5,7%,12.50%,151.77,1,204,129062664,1%,114%,2.38,8.67%,0%,5,9.00%,8.80%,121.95,1,119,125773057,0.59%,309.35%,2.66,8.90%,0.00%,5,6.00%,7.00%,111.93,0,105," 107,971,728.00 ",-0.29%,196.92%,0,6.53%,0.00%,0,5%,7%,109.51,0,100,98219118,0.06%,131.50%,0,8%,0%,0,5.00%,8.50%,102.55,0,102,93594546,0%,193%,0,9.00%,0.00%,0,6.00%,9.00%,101.88,0,100,84296352,0.00%,184.52%,0,13%,0%,0,0.05,0.1,103.37,0,90,76102434,0%,156%,0,10%,2%,0,7.00%,10.00%,101.78,0,101,69947867,1%,340%,0,10%,0%,0,7%,13%,103.78,0,107,55361736,0%,142%,0,14%,0%,0,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,94," 338,755,343 ",1%,539.36%,2.24,11%,0%,1,4.50%,11%,134.80,1,68,290357575,0.48%,309%,2.44,8.95%,0%,5,7%,12.50%,151.77,1,66,257758033,1%,100%,2.84,6.54%,0%,5,9.00%,8.80%,121.95,1,68,257758174,0.61%,158.73%,2.72,8.52%,0.00%,5,6.00%,7.00%,111.93,0,73," 244,850,271.00 ",0.58%,56.05%,0,8.10%,0.00%,0,5%,7%,109.51,0,75,270638308,0.54%,128.00%,0,10%,0%,0,5.00%,8.50%,102.55,0,71,261716081,1%,137%,0,8.46%,0.00%,0,6.00%,9.00%,101.88,0,68,252699680,0.50%,637.08%,0,9%,0%,0,0.05,0.1,103.37,0,69,222857085,1%,310%,0,8%,0%,0,7.00%,10.00%,101.78,0,71,201335716,1%,648%,0,7%,0%,0,7%,13%,103.78,,,,,,,,,,,,
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,1,155," 129,086,902 ",0%,1578.19%,2.24,10%,0%,1,4.50%,11%,134.80,1,151,106017457,0.34%,375%,2.29,9.16%,0%,5,7%,12.50%,151.77,1,140,91009415,0%,2288%,2.29,8.14%,0%,5,9.00%,8.80%,121.95,1,122,73709223,0.39%,786.05%,2.67,8.72%,0.00%,5,6.00%,7.00%,111.93,0,82," 59,913,005.00 ",0.39%,-192.75%,0,7.23%,0.00%,0,5%,7%,109.51,0,106,50930706,0.27%,2058.82%,0,8%,0%,0,5.00%,8.50%,102.55,0,91,40037487,0%,455%,0,3.39%,0.00%,0,6.00%,9.00%,101.88,,,,,,,,,,,,,0,58,27851032,1%,234%,0,3%,1%,0,7.00%,10.00%,101.78,0,0,24930830,1%,1854%,0,2%,0%,0,7%,13%,103.78,0,0,20610556,1%,1864%,0,6%,0%,0,7%,10%,101.78
